,circle,district
1,Richukrong Circle,East Kameng
2,Seppa HQ,East Kameng
3,Gyawe Purang Circle,East Kameng
4,Seijosa,Pakke Kessang
5,Pizirang(Veo),Pakke Kessang
6,Sagalee ADC,Papum Pare
7,Leporiang Circle,Papum Pare
8,Parang Circle,Papum Pare
9,Mengio EAC,Papum Pare
10,Toru Circle,Papum Pare
11,Balijan ADC,Papum Pare
12,Taraso Circle,Papum Pare
13,Sangdupota Basar Nello Circle,Papum Pare
14,Rupa SDO,West Kameng
15,Singchung ADC,West Kameng
16,Thrizino ADC,West Kameng
17,Jamiri Circle,West Kameng
18,Bhalukpong EAC,West Kameng
19,Kamengbari Doimara Circle,West Kameng
20,Shergaon Circle,West Kameng
21,Balemu Circle,West Kameng
22,Kalaktang ADC,West Kameng
23,Dirang ADC,West Kameng
